104.16.100.49,facebook.com,13335
104.16.100.49,amazon.com,13335
104.16.100.49,wikipedia.com,13335
104.16.100.49,youtube.com,13335
104.16.100.49,tiktok.com,13335
116.202.120.183,facebook.com,24940
116.202.120.183,amazon.com,24940
116.202.120.183,wikipedia.com,24940
116.202.120.183,youtube.com,24940
116.202.120.183,tiktok.com,24940
104.16.100.49,alislam.org,13335
104.16.100.49,rabwah.net,13335
104.16.100.49,deviantart.com,13335
104.16.100.49,fanfiction.net,13335
104.16.100.49,wattpad.com,13335
116.202.120.183,alislam.org,24940
116.202.120.183,rabwah.net,24940
116.202.120.183,deviantart.com,24940
116.202.120.183,fanfiction.net,24940
116.202.120.183,wattpad.com,24940
94.20.71.165,facebook.com,29049
94.20.71.165,amazon.com,29049
94.20.71.165,wikipedia.com,29049
94.20.71.165,youtube.com,29049
94.20.71.165,tiktok.com,29049
46.32.168.255,facebook.com,211790
46.32.168.255,amazon.com,211790
46.32.168.255,wikipedia.com,211790
46.32.168.255,youtube.com,211790
46.32.168.255,tiktok.com,211790
94.20.71.165,alislam.org,29049
94.20.71.165,rabwah.net,29049
94.20.71.165,deviantart.com,29049
94.20.71.165,fanfiction.net,29049
94.20.71.165,wattpad.com,29049
46.32.168.255,alislam.org,211790
46.32.168.255,rabwah.net,211790
46.32.168.255,deviantart.com,211790
46.32.168.255,fanfiction.net,211790
46.32.168.255,wattpad.com,211790
